content,sentiment,score
还是《阳光普照》的路子，后面再拍一部，可以搞个家庭三部曲了，虽然这次的配乐换人了，但还是一股林生祥的味道。导演的朋友圈几乎都用上了吧，熟人们都来了，疫情期间拍的电影，疫情只是导演灵感的开始，其实是借疫情和隔离去讲人的状态，家人之间的关系，这对母女的关系其实早就隔离了很多年，只是借着疫情和心理疾病的壳子对面对问题。瀑布是老妈内心积压的情绪，最后释放成了洪水，把女儿直接卷走。用文艺的对白解释瀑布，像《阳光普照》的结尾那样，配上优美的配乐，太爱钟孟宏的这种感觉了。,positive,0.999976396560669
水流朝她们冲击而去，而她们都活了下来,positive,0.9992892742156982
可以不要问我“你还好吗？” 我们一起好好地走下去/最后的落水看得我要心梗了！！！！！！！！！！！！！！！！！！！！！！！！！！！2022看的第二部好片,positive,0.9999841451644897
贾静雯演技好好哦，这么熟悉的演员在新角色里还能让我感到很陌生，真的很神奇，以及怎么回事，竟然还能跟火神的眼泪和阳光普照梦幻联动，好几个地方真是，会心一笑，谁懂……,positive,0.9999748468399048
开头非常巧妙的小反转，叛逆的变成乖顺的，而框架内的变成了不安定的，照护与被照护的变化让生活这个罐子被晃动了一下，渣子、凝固也隐匿在罐底的东西都浮现出来。瀑布出现时的声效完美，像粗重呼吸，像疯癫前兆。到后半段，从搬家后饭桌那场戏开始有点鸡汤，算是遗憾。前面的部分都可圈可点。口罩遮面，蓝布遮窗，阻隔、遮挡用得真妙，疫情之下，封闭之心被砸开，如冰封碎裂成瀑布，瀑布又缓成溪流。几个人的演技都值得赞叹。,positive,0.9999427795410156
观感很复杂，确实没有和疫情非绑在一起不可的关联，但却又像是不得不在疫情时才能get到的电影。很多东西都不断把人与人之间的界限模糊消去，但却也鲜有人真正去认识一个人，而在这种危险的亲密关系里，盼望“雨”将对方打醒的同时，却又不再盼望“雨”消散，于是“雨”积压泄落，结局亦未必是天晴。场置美术某种意义上弥补了本子里不够细腻的东西，每个场景的细节都做得又足又厉害。王净表现得挺好，虽然也有角色本身的加成吧。3.5归4，个人而言比《阳普》更加喜欢这部。,positive,0.9997615218162537
台湾能有钟孟宏这样的导演是一大幸事，华语电影能有钟孟宏导演亦是如此。影片结尾妈妈喊出小静的时候，泪水也从我眼中无预警泄洪出来。,positive,0.9999799728393555
这几年，每逢春节都会看一部台湾电影，从2020年《阳光普照》、2021年《孤味》到今年的《瀑布》，依然静水流深，温暖治愈，台湾家庭片的艺术水准已丝毫不输于日本。疫情如同突然汹涌而至的瀑布激流，重创着每个人的身体和精神，也改变了许多人的家庭关系，母亲会慢慢走出精神失常的阴影，孩子也会渐渐理解大人成长起来，瀑布急流终会变成涓涓细流，奔向自由广阔有爱的心世界。片尾，母亲在电视新闻上焦急搜寻女儿获救的身影，那泪光盈盈的注视，是对基耶斯洛夫斯基《蓝白红三部曲之红》的深情致敬。贾静雯、王净的演技真好，摄影真好，音乐真好，温柔敦厚的台湾国语真好。过低的豆瓣评分配不上她的好。,positive,0.9999814033508301
如果没有结尾部分贾静雯说她听到瀑布的声音这段强行意象植入的戏，我觉得这是去年最佳华语片。深深地感觉到主创者以极大的温柔与诚挚去构建一个妄想症精神病人往下坠落的过程中懵懂抵抗的过程——无法不被贾静雯的面容所打动，几乎落泪，呆滞、恍惚、低沉、落寞、惊恐的状态中蕴蓄着回归常态的冲动，同时又带有过去美好时光的一缕明媚。华语片里再没有见过比这更真实丰富动人的精神病人角色。贾静雯那位病友演不好，没有病人样。3.5,positive,0.9995803236961365
4.5喜欢瀑布胜过阳光普照，瀑布拍得很笨拙，阳光太精巧了，以至于看不出他要干什么，阳光的说教性更强，有一种宣扬。瀑布很长，大量的日常戏，和一些日常对话，拍得笨拙还有尴尬之处，甚至看出点李红旗…然后再配上《阳光普照》的方法 我就能get他努力的方向了…声音很好。—“台北精神失常记”,positive,0.9999847412109375
