word,count,weight,proportion
女性,1533,1.0,1.0
青云,1303,0.85,0.8499673842139596
姚晨,1149,0.75,0.7495107632093934
四毛,881,0.575,0.5746901500326158
男性,843,0.55,0.5499021526418787
光明,766,0.5,0.49967384213959554
袁弘,613,0.4,0.3998695368558382
妈妈,574,0.375,0.3744292237442922
男人,536,0.35,0.3496412263535551
母亲,536,0.35,0.3496412263535551
欲望,536,0.35,0.3496412263535551
李老,536,0.35,0.3496412263535551
母女,498,0.325,0.324853228962818
好风,459,0.3,0.299412915851272
渴望,421,0.275,0.2746249184605349
李平,421,0.275,0.2746249184605349
大龄,344,0.225,0.22439660795825178
表达,306,0.2,0.19960861056751467
做爱,306,0.2,0.19960861056751467
女性主义,306,0.2,0.19960861056751467
柳絮,306,0.2,0.19960861056751467
父亲,306,0.2,0.19960861056751467
台词,268,0.175,0.17482061317677755
梁美枝,268,0.175,0.17482061317677755
尊严,268,0.175,0.17482061317677755
卵巢癌,268,0.175,0.17482061317677755
人物,268,0.175,0.17482061317677755
自我,268,0.175,0.17482061317677755
片子,229,0.15,0.14938030006523156
亲子关系,229,0.15,0.14938030006523156
恐惧,229,0.15,0.14938030006523156
人生,229,0.15,0.14938030006523156
薛宝钗,229,0.15,0.14938030006523156
自传,229,0.15,0.14938030006523156
生死,229,0.15,0.14938030006523156
女人,229,0.15,0.14938030006523156
片中,191,0.125,0.12459230267449445
性爱,191,0.125,0.12459230267449445
女儿,191,0.125,0.12459230267449445
生活,191,0.125,0.12459230267449445
内心,191,0.125,0.12459230267449445
现实,191,0.125,0.12459230267449445
关系,191,0.125,0.12459230267449445
女权,191,0.125,0.12459230267449445
爱欲,191,0.125,0.12459230267449445
圆周率,191,0.125,0.12459230267449445
独立,191,0.125,0.12459230267449445
理解,191,0.125,0.12459230267449445
绝症,153,0.1,0.09980430528375733
结尾,153,0.1,0.09980430528375733
黑色幽默,153,0.1,0.09980430528375733
死亡,153,0.1,0.09980430528375733
出轨,153,0.1,0.09980430528375733
李总,153,0.1,0.09980430528375733
自慰,153,0.1,0.09980430528375733
